episode,avg_waiting_time,avg_pedestrian_waiting_time,avg_queue_length,violation_rate,total_reward,avg_loss,epsilon,steps
1,90.11583333333333,0.0002777777777777778,5.360277777777778,0.0,-324418.0,4745.827460226717,0.9809999999998755,3600
2,88.86888888888889,0.004166666666666667,5.115,0.0,-319943.0,20499.98681708442,0.961999999999751,3600
3,75.94416666666666,0.0002777777777777778,4.6819444444444445,0.0,-273400.0,50413.031543104385,0.9429999999996266,3600
4,95.32555555555555,0.0005555555555555556,5.370555555555556,0.0,-343174.0,86927.93403320313,0.9239999999995021,3600
5,75.31305555555555,0.002777777777777778,4.901388888888889,0.0,-271137.0,107691.99632866753,0.9049999999993776,3600
6,74.81027777777778,0.0022222222222222222,4.741666666666666,0.0,-269325.0,111525.80471082899,0.8859999999992532,3600
7,82.04083333333334,0.0008333333333333334,5.172777777777778,0.0,-295350.0,105698.02547851563,0.8669999999991287,3600
8,79.7825,0.001388888888888889,5.008611111111111,0.0,-287222.0,99434.17335177951,0.8479999999990042,3600
9,86.33444444444444,0.004722222222222222,5.307777777777778,0.0,-310821.0,85316.26532443576,0.8289999999988797,3600
10,66.14861111111111,0.0002777777777777778,4.485833333333333,0.0,-238136.0,72026.02237413195,0.8099999999987553,3600
11,91.14805555555556,0.0016666666666666668,5.233888888888889,0.0,-328139.0,59160.97375298394,0.7909999999986308,3600
12,84.72527777777778,0.0002777777777777778,4.953888888888889,0.0,-305012.0,50933.71474595812,0.7719999999985063,3600
13,78.20611111111111,0.0,4.863888888888889,0.0,-281542.0,45988.4727468533,0.7529999999983819,3600
14,76.815,0.0016666666666666668,4.935833333333333,0.0,-276540.0,49157.488060709635,0.7339999999982574,3600
15,96.29333333333334,0.0002777777777777778,5.5225,0.0,-346657.0,52089.164731445315,0.7149999999981329,3600
16,97.52666666666667,0.029722222222222223,5.6963888888888885,0.0,-351203.0,52743.26422309028,0.6959999999980084,3600
17,71.23166666666667,0.0,4.722222222222222,0.0,-256434.0,58731.61098470052,0.676999999997884,3600
18,88.425,0.07277777777777777,5.121111111111111,0.0,-318592.0,65078.03967271593,0.6579999999977595,3600
19,75.27833333333334,0.0008333333333333334,4.906666666666666,0.0,-271005.0,74928.48473497179,0.638999999997635,3600
20,96.84916666666666,0.0008333333333333334,5.355833333333333,0.0,-348660.0,92867.2756491428,0.6199999999975105,3600
21,84.98527777777778,0.0008333333333333334,5.1225,0.0,-305950.0,98869.35506049263,0.6009999999973861,3600
22,65.81527777777778,0.0008333333333333334,4.403888888888889,0.0,-236938.0,97607.65347683377,0.5819999999972616,3600
23,96.59694444444445,0.0025,5.675277777777778,0.0,-347758.0,111321.70214409722,0.5629999999971371,3600
24,69.77166666666666,0.0,4.548611111111111,0.0,-251178.0,109430.39824191623,0.5439999999970127,3600
25,82.73833333333333,0.0002777777777777778,4.8597222222222225,0.0,-297859.0,132782.36965793185,0.5249999999968882,3600
26,76.78166666666667,0.005277777777777778,4.726666666666667,0.0,-276433.0,153758.0615017361,0.5059999999967637,3600
27,80.36888888888889,0.001388888888888889,5.0,0.0,-289333.0,170597.43374213326,0.486999999996776,3600
28,70.0436111111111,0.0005555555555555556,4.591111111111111,0.0,-252159.0,182423.26258002387,0.4679999999968514,3600
29,74.53027777777778,0.058611111111111114,4.865,0.0,-268520.0,207227.336796875,0.44899999999692675,3600
30,79.16416666666667,0.005277777777777778,4.918055555555555,0.0,-285010.0,240458.6860172526,0.4299999999970021,3600
31,77.10861111111112,0.006666666666666667,4.764722222222222,0.0,-277615.0,288413.9231399197,0.4109999999970775,3600
32,81.7136111111111,0.0011111111111111111,5.106111111111111,0.0,-294173.0,271457.505534668,0.39199999999715285,3600
33,66.7761111111111,0.0016666666666666668,4.4375,0.0,-240400.0,344482.46853624133,0.3729999999972282,3600
34,81.7325,0.0011111111111111111,5.005,0.0,-294241.0,377579.28552571614,0.3539999999973036,3600
