episode,avg_waiting_time,avg_pedestrian_waiting_time,avg_queue_length,violation_rate,total_reward,avg_loss,epsilon,steps
1,1417.951111111111,0.0,79.24944444444445,0.0,-5104624.0,221347.05090294068,0.9809999999998755,3600
2,1452.6741666666667,0.0,78.93472222222222,0.0,-5229627.0,577465.5298003472,0.961999999999751,3600
3,1399.4794444444444,0.0,78.95722222222223,0.0,-5038126.0,1203015.0685503471,0.9429999999996266,3600
4,1422.79,0.0,79.47888888888889,0.0,-5122044.0,2097442.2889930555,0.9239999999995021,3600
5,1444.7288888888888,0.0,77.70333333333333,0.0,-5201024.0,3101125.141597222,0.9049999999993776,3600
6,1453.3202777777778,0.0,78.56027777777778,0.0,-5231953.0,4239686.32625,0.8859999999992532,3600
7,1556.7475,0.0,79.35527777777777,0.0,-5604291.0,5264385.161319445,0.8669999999991287,3600
8,1529.8716666666667,0.0,78.99166666666666,0.0,-5507538.0,6136661.251041667,0.8479999999990042,3600
9,1445.6980555555556,0.0002777777777777778,79.99277777777777,0.0,-5204514.0,6676231.666388889,0.8289999999988797,3600
10,1548.6266666666668,0.0,79.48638888888888,0.0,-5575056.0,6918401.164166667,0.8099999999987553,3600
11,1417.203611111111,0.0,79.44083333333333,0.0,-5101933.0,6768552.211805556,0.7909999999986308,3600
12,1399.7897222222223,0.0,78.07277777777777,0.0,-5039243.0,6764378.836076389,0.7719999999985063,3600
13,1454.2202777777777,0.0,79.38972222222222,0.0,-5235193.0,6875484.654097222,0.7529999999983819,3600
14,1449.6269444444445,0.0,78.84944444444444,0.0,-5218657.0,6868973.127083333,0.7339999999982574,3600
15,1383.5980555555554,0.0002777777777777778,79.1511111111111,0.0,-4980954.0,7268292.089409722,0.7149999999981329,3600
16,1392.1955555555555,0.0,77.68805555555555,0.0,-5011904.0,6781340.157256944,0.6959999999980084,3600
17,1461.0827777777777,0.0,79.74194444444444,0.0,-5259898.0,6706629.6683680555,0.676999999997884,3600
18,1381.9769444444444,0.0,79.88444444444444,0.0,-4975117.0,6341897.925694444,0.6579999999977595,3600
19,1398.5225,0.0,79.54472222222222,0.0,-5034681.0,6588742.166944444,0.638999999997635,3600
20,1441.1494444444445,0.0,78.835,0.0,-5188138.0,6318008.0190625,0.6199999999975105,3600
21,1409.42,0.0,80.29472222222222,0.0,-5073912.0,6625275.810104167,0.6009999999973861,3600
22,1382.6908333333333,0.0,80.36583333333333,0.0,-4977687.0,6512251.307777777,0.5819999999972616,3600
23,1412.5127777777777,0.0,78.53777777777778,0.0,-5085046.0,6437551.343020833,0.5629999999971371,3600
24,1440.4644444444446,0.0,79.50083333333333,0.0,-5185672.0,6802533.234652778,0.5439999999970127,3600
25,1340.8883333333333,0.0,78.59777777777778,0.0,-4827198.0,6820278.596180555,0.5249999999968882,3600
26,1394.9163888888888,0.0,78.8075,0.0,-5021699.0,6363846.648784722,0.5059999999967637,3600
27,1468.0272222222222,0.0,79.71027777777778,0.0,-5284898.0,6427940.298680556,0.486999999996776,3600
28,1407.9891666666667,0.0,78.92694444444444,0.0,-5068761.0,5842253.958090277,0.4679999999968514,3600
29,1390.6830555555555,0.0,79.04972222222223,0.0,-5006459.0,5649060.808090278,0.44899999999692675,3600
30,1412.8755555555556,0.0,80.03805555555556,0.0,-5086352.0,5553915.964947917,0.4299999999970021,3600
31,1357.648888888889,0.0,79.33833333333334,0.0,-4887536.0,6151489.755954861,0.4109999999970775,3600
32,1419.7144444444446,0.0,80.07777777777778,0.0,-5110972.0,5875785.126649305,0.39199999999715285,3600
33,1386.356388888889,0.0,79.26694444444445,0.0,-4990883.0,5200636.573125,0.3729999999972282,3600
34,1352.2658333333334,0.0,79.23416666666667,0.0,-4868157.0,5661823.468663194,0.3539999999973036,3600
35,1392.6172222222222,0.0,80.06888888888889,0.0,-5013422.0,5644127.309444444,0.33499999999737895,3600
36,1454.2008333333333,0.0,81.53833333333333,0.0,-5235123.0,5035490.571927084,0.3159999999974543,3600
37,1484.3741666666667,0.0,81.44527777777778,0.0,-5343747.0,4339275.9296875,0.2969999999975297,3600
38,1324.443611111111,0.0,78.81333333333333,0.0,-4767997.0,4334625.522534722,0.27799999999760505,3600
39,1369.7983333333334,0.0,79.8236111111111,0.0,-4931274.0,3895024.188090278,0.2589999999976804,3600
40,1440.4522222222222,0.0,80.88972222222222,0.0,-5185628.0,4214015.012986111,0.2399999999977032,3600
41,1379.3922222222222,0.0,79.10527777777777,0.0,-4965812.0,4249054.975694444,0.22099999999767864,3600
42,1351.4208333333333,0.0,79.50694444444444,0.0,-4865115.0,3721399.2001736113,0.20199999999765408,3600
43,1305.4205555555557,0.0,78.28416666666666,0.0,-4699514.0,3944746.2459895834,0.18299999999762953,3600
44,1370.973611111111,0.0,78.61444444444444,0.0,-4935505.0,4105420.4615625,0.16399999999760498,3600
45,1278.6747222222223,0.0,77.73694444444445,0.0,-4603229.0,3652519.5556423613,0.14499999999758043,3600
46,1428.9605555555556,0.0,80.72055555555555,0.0,-5144258.0,3563317.147578125,0.12599999999755587,3600
47,1431.256111111111,0.0,80.06,0.0,-5152522.0,3244310.5620138887,0.10699999999753132,3600
48,1407.5975,0.0,79.85861111111112,0.0,-5067351.0,3599357.6594965276,0.08799999999750677,3600
49,1354.233888888889,0.0,78.79527777777778,0.0,-4875242.0,3377509.7425520835,0.06899999999748221,3600
50,1397.3627777777779,0.0,80.16083333333333,0.0,-5030506.0,3261488.326770833,0.05,3600
51,1344.536111111111,0.0,79.16166666666666,0.0,-4840330.0,2912864.9486371526,0.05,3600
52,1341.5308333333332,0.0,78.855,0.0,-4829511.0,3645742.3348524305,0.05,3600
53,1341.8091666666667,0.0,80.04666666666667,0.0,-4830513.0,3039648.3316145833,0.05,3600
54,1367.5333333333333,0.0,79.84944444444444,0.0,-4923120.0,3183226.927942708,0.05,3600
55,1320.3708333333334,0.0,78.67277777777778,0.0,-4753335.0,2682389.7663802085,0.05,3600
56,1358.3863888888889,0.0,79.53611111111111,0.0,-4890191.0,2646306.7909635417,0.05,3600
57,1281.5641666666668,0.0,78.08916666666667,0.0,-4613631.0,2466752.31390625,0.05,3600
58,1372.1508333333334,0.0,79.51027777777777,0.0,-4939743.0,2509600.895885417,0.05,3600
59,1345.6808333333333,0.0,79.59861111111111,0.0,-4844451.0,2396676.1979774307,0.05,3600
60,1352.0522222222223,0.0,78.11638888888889,0.0,-4867388.0,2224673.7036111113,0.05,3600
61,1339.8461111111112,0.0,78.30777777777777,0.0,-4823446.0,2088357.3088194444,0.05,3600
62,1369.6197222222222,0.0,79.85444444444444,0.0,-4930631.0,2111910.8565538195,0.05,3600
63,1391.3216666666667,0.0,79.37055555555555,0.0,-5008758.0,2166197.528828125,0.05,3600
64,1384.9788888888888,0.0,79.85888888888888,0.0,-4985924.0,1957836.8810677084,0.05,3600
65,1370.5408333333332,0.0,80.0475,0.0,-4933947.0,2027530.370390625,0.05,3600
66,1396.9586111111112,0.0,79.91972222222222,0.0,-5029051.0,1893090.4581076389,0.05,3600
67,1398.8794444444445,0.0,80.74277777777777,0.0,-5035966.0,1783368.0458680557,0.05,3600
68,1363.2277777777779,0.0,79.23555555555555,0.0,-4907620.0,1686195.0604340278,0.05,3600
69,1375.0852777777777,0.0,80.5911111111111,0.0,-4950307.0,1626144.894826389,0.05,3600
70,1363.8375,0.0,80.20194444444445,0.0,-4909815.0,1482093.6005121528,0.05,3600
71,1408.078888888889,0.0,80.53361111111111,0.0,-5069084.0,1452667.5105381943,0.05,3600
72,1290.5816666666667,0.0,78.10666666666667,0.0,-4646094.0,1489633.9276041666,0.05,3600
73,1338.6344444444444,0.0,79.29444444444445,0.0,-4819084.0,1448006.2852951388,0.05,3600
74,1422.4,0.0,80.38027777777778,0.0,-5120640.0,1472242.3861805554,0.05,3600
75,1386.1986111111112,0.0,79.74277777777777,0.0,-4990315.0,1402361.5007118057,0.05,3600
76,1374.3336111111112,0.0,79.98666666666666,0.0,-4947601.0,1331971.832248264,0.05,3600
77,1378.3963888888889,0.0,79.53361111111111,0.0,-4962227.0,1329861.7074479167,0.05,3600
78,1468.3597222222222,0.0,80.93194444444444,0.0,-5286095.0,1259341.9853993056,0.05,3600
